Deck_ACC,Deck_CRESP,Deck_DurationError,Deck_OnsetDelay,Deck_OnsetToOnsetTime,List1_Cycle,Running,internal_node_id,rt,task_section,time_elapsed,trial_index,trial_type,view_history,DeckA,DeckAScreen,DeckB,DeckBScreen,DeckC,DeckCScreen,DeckD,DeckDScreen,Deck_OnsetTime,Deck_RESP,Deck_RT,Deck_RTTime,Deck_Screen_Position,List1_Sample,loss_event,response,totalsum,trial_timestamp,var,stimulus,cycle_start_date,role,day,last_commit,lang,expected_trial_count,experiment_name,subject_id,study_id,session_id,session_uuid,useragent,on_mobile,ExperimentName,ExperimentVersion,ExperimentPlatform,window_innerHeight,window_innerWidth,screen_availHeight,screen_availWidth,screen_width,screen_height
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.0,3192.0,,56688,2,html-button-response,,100.0,1.0,100.0,2.0,50.0,4.0,50.0,3.0,54490.0,C,3192.0,57682.0,4.0,1.0,0.0,3.0,2550.0,2025-06-15 15:12:59 (Pacific Daylight Time),50.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.1,4233.0,,62740,5,html-button-response,,100.0,1.0,100.0,2.0,0.0,4.0,50.0,3.0,59496.0,C,4233.0,63729.0,4.0,2.0,-50.0,3.0,2550.0,2025-06-15 15:13:05 (Pacific Daylight Time),0.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.2,2267.0,,66822,8,html-button-response,,100.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,65544.0,D,2267.0,67811.0,3.0,3.0,0.0,2.0,2600.0,2025-06-15 15:13:09 (Pacific Daylight Time),50.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.3,9313.0,,77951,11,html-button-response,,100.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,69631.0,B,9313.0,78944.0,2.0,4.0,0.0,1.0,2700.0,2025-06-15 15:13:20 (Pacific Daylight Time),100.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.4,3259.0,,83042,14,html-button-response,,100.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,80772.0,D,3259.0,84031.0,3.0,5.0,0.0,2.0,2750.0,2025-06-15 15:13:25 (Pacific Daylight Time),50.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.5,3947.0,,88808,17,html-button-response,,100.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,85850.0,C,3947.0,89797.0,4.0,6.0,-75.0,3.0,2725.0,2025-06-15 15:13:31 (Pacific Daylight Time),-25.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.6,1953.0,,92575,20,html-button-response,,100.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,91611.0,B,1953.0,93564.0,2.0,7.0,0.0,1.0,2825.0,2025-06-15 15:13:34 (Pacific Daylight Time),100.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.7,818.0,,95208,23,html-button-response,,100.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,95379.0,A,818.0,96197.0,1.0,8.0,0.0,0.0,2925.0,2025-06-15 15:13:37 (Pacific Daylight Time),100.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.8,735.0,,97758,26,html-button-response,,-250.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,98012.0,D,735.0,98747.0,3.0,9.0,0.0,2.0,2975.0,2025-06-15 15:13:40 (Pacific Daylight Time),50.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.9,1904.0,,101474,29,html-button-response,,-250.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,100559.00000000001,A,1904.0,102463.00000000001,1.0,10.0,-350.0,0.0,2725.0,2025-06-15 15:13:43 (Pacific Daylight Time),-250.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
0,1234,-999999,0,0,1,List1,0.0-0.0-2.0-0.10,1329.0,,104615,32,html-button-response,,-200.0,1.0,100.0,2.0,-25.0,4.0,50.0,3.0,104275.0,B,1329.0,105604.0,2.0,11.0,0.0,1.0,2825.0,2025-06-15 15:13:46 (Pacific Daylight Time),100.0,,2025-06-16,adolescent,0,6e64b31c6348ac9d094febdaa4fdb26e97e83af1,eng,80,projectseed-iowa-production,9,projectseed_production_april2024,af72bb17-db3e-48c7-988a-7cc8a152394e,af72bb17-db3e-48c7-988a-7cc8a152394e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",True,IowaTask-v2.0,jspsych-0.4a-mobile,-mobile,1703,980,896,414,414,896
