experiment_name,ExperimentName,Subject,CurrentDate,useragent,session_uuid,day,screen_availHeight,screen_availWidth,lang,Trial,TrialEPrime,trial_timestamp,Slide1.RTTime,Compatibility,CorrectResponse,ProcedureTrial,Slide1.ACC,Slide1.CRESP,Slide1.RESP,Slide1.RT,StimulusLocation,StimulusColor,stimulus_load_time,role,cycle_start_date,task_section,connectivity
projectseed-simon-production,SimonTask-v2.0,9,2025-06-15 15:19:17 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",4f40d89a-dae6-4f76-9ae1-ac6f2f8b8cdc,0,896,414,eng,-999.0,1.0,2025-06-15 15:19:38 (Pacific Daylight Time),21444,incompatible,left,TrainingList,False,left,none,-999.0,right,blue,1.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-15 15:19:17 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",4f40d89a-dae6-4f76-9ae1-ac6f2f8b8cdc,0,896,414,eng,-999.0,2.0,2025-06-15 15:19:45 (Pacific Daylight Time),27884,incompatible,right,TrainingList,True,right,right,658.0,left,red,1.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-15 15:19:17 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",4f40d89a-dae6-4f76-9ae1-ac6f2f8b8cdc,0,896,414,eng,-999.0,3.0,2025-06-15 15:19:48 (Pacific Daylight Time),31134,incompatible,left,TrainingList,True,left,left,626.0,right,blue,1.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-15 15:19:17 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",4f40d89a-dae6-4f76-9ae1-ac6f2f8b8cdc,0,896,414,eng,-999.0,4.0,2025-06-15 15:19:53 (Pacific Daylight Time),36534,incompatible,right,TrainingList,True,right,right,593.0,left,red,1.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-15 15:19:17 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",4f40d89a-dae6-4f76-9ae1-ac6f2f8b8cdc,0,896,414,eng,-999.0,5.0,2025-06-15 15:19:56 (Pacific Daylight Time),39402,incompatible,right,TrainingList,True,right,right,577.0,left,red,1.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-24 00:45:23 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",13795575-80f4-45fc-857c-502b5f53fa58,8,896,414,eng,-999.0,1.0,2025-06-24 00:45:31 (Pacific Daylight Time),8250,incompatible,left,TrainingList,False,left,none,-999.0,right,blue,2.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-24 00:45:23 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",13795575-80f4-45fc-857c-502b5f53fa58,8,896,414,eng,-999.0,2.0,2025-06-24 00:45:34 (Pacific Daylight Time),11518,compatible,right,TrainingList,True,right,right,609.0,right,red,1.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-24 00:45:23 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",13795575-80f4-45fc-857c-502b5f53fa58,8,896,414,eng,-999.0,3.0,2025-06-24 00:45:37 (Pacific Daylight Time),14536,compatible,right,TrainingList,True,right,right,610.0,right,red,0.999999999998181,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-24 00:45:23 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",13795575-80f4-45fc-857c-502b5f53fa58,8,896,414,eng,-999.0,4.0,2025-06-24 00:45:40 (Pacific Daylight Time),17503,compatible,right,TrainingList,True,right,right,527.0,right,red,0.0,adolescent,2025-06-16,training,
projectseed-simon-production,SimonTask-v2.0,9,2025-06-24 00:45:23 (Pacific Daylight Time),"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",13795575-80f4-45fc-857c-502b5f53fa58,8,896,414,eng,-999.0,5.0,2025-06-24 00:45:44 (Pacific Daylight Time),20869,incompatible,right,TrainingList,True,right,right,643.0,left,red,1.0,adolescent,2025-06-16,training,
