"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
participant_id,participant_info,,text,"participant ID",,,,,,,,,,,,,
tfirname,participant_info,,text,"<div style=""font-weight:normal"">Student's First Name:

<span style = ""color:green"">Nombre del Estudiante:</span></div>
",,,,,,,,,,,,,
tlasname,participant_info,,text,"<div style=""font-weight:normal"">Student's Last Name:

<span style=""color:green"">Apellido del Estudiante:</span></div>
",,,,,,,,,,,,,
ai1temai,participant_info,,text,"Email:	
<font color=green>Correo Electronico:</font>
",,,email,,,y,,,,,,,
startdt,participant_info,,text,"start date of daily surveys",,,date_ymd,,,,,,,,,,
phontyp,participant_info,,text,"type of phone",,,,,,,,,,,,,
t1date,day_1_monday_daily_survey,,text,"<font size=""5.5"">Today's date</font>
<font size=""5.5""><span style=""color:green"">Fecha de hoy</span></font>",,,date_ymd,,,,,,,,,,
t1strti,day_1_monday_daily_survey,,text,"<font size=""5.5"">Start time:</font>
<font size=""5.5""><span style=""color:green"">Hora de inicio:</span></font>",,,time,,,,,y,RH,,,,
t1dowee,day_1_monday_daily_survey,,radio,"<font size=""5.5"">Today's day of the week
</font> <font size=""5.5""><font color=""green"">Día de la semana de hoy</font>","1, <font size=""4.5""> 1 Monday <br><font color=""green"">Lunes</font> | 2, <font size=""4.5""> 2 Tuesday<br><font color=""green"">Martes</font> | 3, <font size=""4.5""> 3 Wednesday<br><font color=""green"">Miércoles</font> | 4, <font size=""4.5""> 4 Thursday<br><font color=""green"">Jueves</font> | 5, <font size=""4.5""> 5 Friday <br><font color=""green"">Viernes</font> | 6, <font size=""4.5""> 6 Saturday <br><font color=""green"">Sábado</font> | 7, <font size=""4.5""> 7 Sunday <br><font color=""green"">Domingo</font>",,,,,,,,,,,,
t1sexo,day_1_monday_daily_survey,,radio,"<font size=""5.5"">Sex</font>
<font size= ""5.5""font color=""green"">Sexo</font>","1, <font size=""4.5""> 1 Male<br><font color=""green"">Hombre</font> | 2, <font size= ""4.5""> 2 Female<br><font color=""green"">Mujer</font> | 3, <font size= ""4.5""> 3 Other<br><font color=""green"">Otro</font>",,,,,,,,,,,,
t1qsexo,day_1_monday_daily_survey,,text,"<font size=""5.5"">Please specify.
<span style = ""color:green"">Por favor, especifica.</span></font>

<font size=""4.5""><span style=""font-weight:normal;"">(Sex)
<span style= ""color:green"">(Sexo)</span></font>",,,,,,,[t1sexo]='3',,,,,,
t1pbar1,day_1_monday_daily_survey,,descriptive,"<div style=""width: 100%; border: 0; margin: 0; padding: 0; background-color: #DCDCDC; text-align: center;""> <font size=""5.5""> 3% complete
<div style=""width: 3%; border: 0; margin: 0; padding: 0; background-color: #228B22;""><span style=""color: #228B22;"">.</span></div>
</div>",,,,,,,"[t1sexo]='1' or [t1sexo]='2' or [t1qsexo]<>""""",,,,,,
t1igtin,day_1_monday_daily_survey,"<font size=""5.5""><center>Fortune Decks/<font color=""green"">Barajas de Destino</font>
</center></font>",descriptive,"<center><u>Instructions for Fortune Decks</u>

Please make sure to play Fortune Decks in <u>ONE SITTING</u> by clicking the game link below. 
Play the game in your preferred language either in English <u>or</u> Spanish.</center> 

<center><span style = ""color:green""><u>Instrucciones para Barajas de Destino</u>

Por favor juega Barajas de Destino en una <u> SOLA SENTADA</u> haciendo clic en el enlace de abajo.
Juega el juego en tu idioma preferido ya sea en inglés <u>o</u> español.</span></center>
",,,,,,,,,,,,,
t1igtla,day_1_monday_daily_survey,,radio,"<font size=""5.5""> Do you want to play Fortune Decks in English or Spanish?

<span style = ""color:green"">¿Prefieres jugar Barajas de Destino en español o inglés?
</span> </font>
","1, <font size=""4.5"">1 Fortune Decks in English</a><br><span style = ""color:green"">Barajas de Destino en inglés</span> | 2, <font size=""4.5"">2 Fortune Decks in Spanish</a><br><span style = ""color:green"">Barajas de Destino en español</span>",,,,,,,,,,,,
t1igtfle,day_1_monday_daily_survey,,text,"URL Day 1 - English: ",,,,,,,,,,,,," @HIDDEN"
t1igtle,day_1_monday_daily_survey,,descriptive,"<div style=""background-color: white; border: 1px solid black;""><center>

<a href=""https://cognitive-games-a282b.web.app/fortune/?PARTICIPANT_ID=[participant_id]&STUDY_ID=projectseed_production_april2024&DAY=1&L=eng&ROLE=adolescent&START_DATE=[startdt]""target=""_blank"">Click here to play Fortune Decks in English


</div></center>

",,,,,,,[t1igtla]='1',,,,,,
t1igtfls,day_1_monday_daily_survey,,text,"URL Day 1 - Spanish: ",,,,,,,,,,,,," @HIDDEN"
t1igtls,day_1_monday_daily_survey,,descriptive,"<div style=""background-color: white; border: 1px solid black;""><center>

<a href=""https://cognitive-games-a282b.web.app/fortune/?PARTICIPANT_ID=[participant_id]&STUDY_ID=projectseed_production_april2024&DAY=1&L=span&ROLE=adolescent&START_DATE=[startdt]""target=""_blank"">Haz clic aquí para jugar Barajas de Destino en español


</div></center>

",,,,,,,[t1igtla]='2',,,,,,
t1intc,day_1_monday_daily_survey,,radio,"<font size=""5.5""> Did you encounter any issues while playing Fortune Decks (e.g., internet connection, lagging, frozen screen, unable to open the game link, etc.)?

<span style = ""color:green"">¿Tuviste problemas mientras jugabas Barajas de Destino (p.ej., conexión de internet, retraso, pantalla congelada, incapaz de acceder el enlace del juego, etc.)?</span></font>","1, <font size=""4.5"">1 Yes<br><span style = ""color:green"">Sí</span></font> | 2, <font size=""4.5"">2 No<br><span style = ""color:green"">No</span></font>",,,,,,,,,,,,
t1qintc,day_1_monday_daily_survey,,notes,"<font size='5.5'> Please specify what issue you encountered while playing Fortune Decks.<span style = ""color:green"">
Por favor, específica los problemas que tuviste mientras jugabas Barajas de Destino.</span>

<span style=""font-weight:normal;"">(Did you encounter any issues while playing Fortune Decks (e.g., internet connection, lagging, frozen screen, unable to open the game link, etc.))
<span style= ""color:green"">(¿Tuviste problemas mientras jugabas Barajas de Destino (p.ej., conexión de internet, retraso, pantalla congelada, incapaz de acceder el enlace del juego, etc.))</span></font>",,,,,,,"[t1intc] = '1'",,,,,,
t1sleep,day_1_monday_daily_survey," ",radio,"<font size=""5.5"">1. How would you rate the quality of your sleep last night?

<span style = ""color:green"">¿Cómo calificarías la calidad de tu sueño anoche?</span> </font>","1, <font size=""4.5"">1 Poor<br><span style = ""color:green"">Mala</span> | 2, <font size=""4.5"">2 Fair<br><span style = ""color:green""> Algo mala</span> | 3, <font size=""4.5"">3 Good<br><span style = ""color: green"">Buena</span> | 4, <font size=""4.5"">4 Very good<br><span style = ""color:green"">Muy buena</span> | 5, <font size=""4.5"">5 Excellent<br><span style = ""color:green"">Excelente</span>",,,,,,,,,,,,
